"row_id","year","day","month","crew","crew_size","start_time","end_time","minutes","person_minutes","area","plot","road_initials","point_num","treatment_type_short","treatment_type_long","treatment_year","weather","slope","lat","long","tree_id","species","living_dead","dbh","total_height_m","crown_height_m","live_crown_ratio","crown_dieback_percent","insect_disease","browsing_damage","light_exposure","crown_position","notes"
1,2022,10,6,"GT, SA, TM",3,1420,"1455",35,105,"Lakehouse","FM_BH_44","BH",44,"SALVAGE","SALVAGE",2010,"SUNNY, 81F","15.9",37.546598,105.411843,1,"POTR","D",22.1,9.2,NA,NA,NA,"Y","Y",NA,NA,""
2,2022,10,6,"GT, SA, TM",3,1420,"1455",35,105,"Lakehouse","FM_BH_44","BH",44,"SALVAGE","SALVAGE",2010,"SUNNY, 81F","15.9",37.546598,105.411843,2,"PSME","D",38.4,11.5,NA,NA,NA,"Y","N",NA,NA,""
3,2022,10,6,"GT, SA, TM",3,1420,"1455",35,105,"Lakehouse","FM_BH_44","BH",44,"SALVAGE","SALVAGE",2010,"SUNNY, 81F","15.9",37.546598,105.411843,3,"PSME","L",52.6,14.9,11.7,78.52348993,0,"Y","N",3,2,"MANY GALLS"
4,2022,10,6,"GT, SA, TM",3,1420,"1455",35,105,"Lakehouse","FM_BH_44","BH",44,"SALVAGE","SALVAGE",2010,"SUNNY, 81F","15.9",37.546598,105.411843,4,"POTR","L",14.9,8.1,2.6,32.09876543,0,"Y","Y",3,4,""
5,2022,10,6,"GT, SA, TM",3,1420,"1455",35,105,"Lakehouse","FM_BH_44","BH",44,"SALVAGE","SALVAGE",2010,"SUNNY, 81F","15.9",37.546598,105.411843,5,"POTR","L",24.3,8.6,3.8,44.18604651,0,"N","N",5,4,""
6,2022,10,6,"GT, SA, TM",3,1420,"1455",35,105,"Lakehouse","FM_BH_44","BH",44,"SALVAGE","SALVAGE",2010,"SUNNY, 81F","15.9",37.546598,105.411843,6,"PSME","L",38.4,12.9,9.7,75.19379845,0,"N","N",5,4,"BASAL SCAR - LOGGING?"
7,2022,10,6,"GT, SA, TM",3,1420,"1455",35,105,"Lakehouse","FM_BH_44","BH",44,"SALVAGE","SALVAGE",2010,"SUNNY, 81F","15.9",37.546598,105.411843,7,"POTR","L",30.5,11.4,6.1,53.50877193,0,"N","Y",4,2,""
8,2022,10,6,"GT, SA, TM",3,1420,"1455",35,105,"Lakehouse","FM_BH_44","BH",44,"SALVAGE","SALVAGE",2010,"SUNNY, 81F","15.9",37.546598,105.411843,8,"PSME","L",42.6,12.5,8.4,67.2,0,"N","N",5,4,""
9,2022,10,6,"GT, SA, TM",3,1524,"1540",16,48,"Lakehouse","FM_BH_43","BH",43,"SALVAGE","HEAVY BUDWORM DAMAGE W/DEADTOPPED DF & WF",2010,"CLEAR","5.7",37.54164,105.405035,1,"PIPO","L",34,13.4,4.1,30.59701493,0,"N","N",4,4,""
10,2022,10,6,"GT, SA, TM",3,1524,"1540",16,48,"Lakehouse","FM_BH_43","BH",43,"SALVAGE","HEAVY BUDWORM DAMAGE W/DEADTOPPED DF & WF",2010,"CLEAR","5.7",37.54164,105.405035,2,"PIPO","L",47.2,15.9,6.1,38.36477987,0,"N","N",5,4,""
