"row_id","day","month","year","start_time","end_time","minutes","person_minutes","crew","crew_size","plot","road_initials","point_num","area","treatment_type_short","treatment_type_long","treatment_year","weather","lat","long","tree_id","species","dbh_sapling","total_height_sapling","count_seedling","insect_disease_presence","browsing_damage","total_count","notes"
1,24,6,2022,1027,1046,19,57,"KV, ES, TM",3,"FM_MB_129","MB",129,"Baldies","shelterwood","shelterwood/thin from below",2021,"sunny, pleasant",37.34503,105.3029,NA,"ABCO",NA,NA,3,"1","1",3,"also mechanical damage"
2,24,6,2022,1122,1145,23,69,"KV, ES, TM",3,"FM_MB_127","MB",127,"Baldies","shelterwood","shelterwood/thin from below",2021,"sunny, pleasant",37.34368,105.300606,NA,"ABCO",NA,NA,3,"0","0",3,"also mechanical damage"
3,24,6,2022,1300,1317,17,51,"KV, ES, TM",3,"FM_MB_128","MB",128,"Baldies","shelterwood","shelterwood/thin from below",2021,"cloudy",37.345681,105.300777,NA,"PIPO",NA,NA,1,"0","0",1,"70% dieback"
4,24,6,2022,938,1005,27,81,"KV, ES, TM",3,"FM_MB_130","MB",130,"Baldies","shelterwood","shelterwood/thin from below",2021,"sunny",37.34659,105.305783,NA,"POTR",NA,NA,6,"0","0",6,""
5,24,6,2022,1340,1407,27,81,"KV, ES, TM",3,"FM_LS_125","LS",125,"Baldies","shelterwood","shelterwood/thin from below",2021,"warm,cloudy",37.346318,105.296774,NA,"ABCO",NA,NA,8,"0","0",8,"70% dieback (1), lopped off sapling(5)"
6,24,6,2022,1340,1407,27,81,"KV, ES, TM",3,"FM_LS_125","LS",125,"Baldies","shelterwood","shelterwood/thin from below",2021,"warm,cloudy",37.346318,105.296774,NA,"PSME",NA,NA,4,"0","1",4,"lopped off"
7,24,6,2022,1418,1433,15,45,"KV, ES, TM",3,"FM_LS_126","LS",126,"Baldies","shelterwood","shelterwood/thin from below",2021,"warm,cloudy",37.343498,105.296488,NA,"PSME",NA,NA,2,"0","0",2,""
8,24,6,2022,1418,1433,15,45,"KV, ES, TM",3,"FM_LS_126","LS",126,"Baldies","shelterwood","shelterwood/thin from below",2021,"warm,cloudy",37.343498,105.296488,NA,"ABCO",NA,NA,2,"0","1",2,"lopped off "
9,23,6,2022,918,926,8,24,"KV, ES, TM",3,"FM_MWCF_80","MWCF",80,"2018 Burn","shelterwood","shelterwood, thin from below, remove mistletoe",2016,"cold,overcast,windy",37.495566,107.273293,NA,"none",NA,NA,0,NA,NA,0,""
10,23,6,2022,1008,1035,27,81,"KV, ES, TM",3,"FM_MWCF_81","MWCF",81,"2018 Burn","thin from below","thin from below, remove all defigured ABCO with 14"" DBH and larger if sufficent seed trees in area",2016,"cold,overcast,windy",37.491334,105.276513,NA,"none",NA,NA,0,NA,NA,0,""
11,23,6,2022,1055,1107,12,36,"KV, ES, TM",3,"FM_MWCF_82","MWCF",82,"2018 Burn","thin from below","thin from below, remove all defigured ABCO with 14"" DBH and larger if sufficent seed trees in area",2016,"cold,overcast,windy",37.488077,105.273255,NA,"none",NA,NA,0,NA,NA,0,""
12,23,6,2022,1304,1334,30,90,"KV, ES, TM",3,"FM_CS_79","CS",79,"2018 Burn","unknown","unknown",2016,"cold,overcast,windy",37.494143,105.267137,NA,"POTR",NA,NA,70,"1","0",70,"caterpillars"
