"","inventory_date","inventory_start_time","plot_key","initials_of_nearest_road","new_plot_key","crew","area_of_ranch","short_description_of_treament","any_other_description_of_treatment","treatment_year","weather","inventory_end_time","x","y","what_is_the_percent_slope_nearest_integer","are_there_trees_present","are_there_seedlings_present","are_there_saplings_present","any_notes_about_site","alive_or_dead","crown_height_m","crown_light_exposure","crown_position","dbh_cm_tree","epicormic_growth_present","percent_dieback","total_height_m_tree","tree_species","what_if_any_disease_damage_present","size_class","dbh_cm_sapling","total_height_m_sapling","number_of_seedlings","browse_count","other_count","sprucebudworm_count","mechanicaldamage_count","defoliation_count","aspenbud_count","galls_count","douglasfiradelgid_count","browse_presence","insect_presence","other_damage_presence","no_damage_presence"
"1","6/7/2023 6:00:00 PM","09:06","144","WTC","FM_WTC_144_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2021,"partly_cloudy","09:06",-105.270888134935,37.3474200535913,NA,NA,NA,NA,NA,"living",7.2,5,2,21.5,"No",20,9,"PSME","none","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","1"
"2","6/12/2023 6:00:00 PM","10:05","122","SR","FM_SR_122_2023","JC,RM,TM","Baldies","UNKNOWN","",2021,"partly_cloudy","10:05",-105.293289357894,37.3564264504587,27,"Yes","Yes","No","","living",3.8,5,4,12.5,"No",5,6.1,"PIPO","none","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","1"
"3","6/6/23 18:00","10:27","136","MB","FM_MB_136_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2018,"sunny","10:27",-105.2876649,37.33754982,NA,NA,NA,NA,NA,"living",7.8,5,2,36.5,"No",0,18.9,"POTR","browse","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0"
"4","6/7/2023 6:00:00 PM","09:06","144","WTC","FM_WTC_144_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2021,"partly_cloudy","09:06",-105.270888134935,37.3474200535913,NA,NA,NA,NA,NA,"living",8.3,5,2,23.5,"Yes",35,10.2,"PSME","barkbeetle,sprucebudworm,canker","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1","0","0"
"5","6/12/2023 6:00:00 PM","10:05","122","SR","FM_SR_122_2023","JC,RM,TM","Baldies","UNKNOWN","",2021,"partly_cloudy","10:05",-105.293289357894,37.3564264504587,27,"Yes","Yes","No","","living",3,5,3,14,"No",5,6.7,"PIPO","mechanicaldamage","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"6","6/6/23 18:00","10:27","136","MB","FM_MB_136_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2018,"sunny","10:27",-105.2876649,37.33754982,NA,NA,NA,NA,NA,"living",5.7,5,2,37.5,"No",0,19.3,"POTR","browse,mechanicaldamage","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0"
"7","6/7/2023 6:00:00 PM","09:06","144","WTC","FM_WTC_144_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2021,"partly_cloudy","09:06",-105.270888134935,37.3474200535913,NA,NA,NA,NA,NA,"living",5.8,5,2,13,"Yes",20,8.7,"PSME","none","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","1"
"8","6/12/2023 6:00:00 PM","10:05","122","SR","FM_SR_122_2023","JC,RM,TM","Baldies","UNKNOWN","",2021,"partly_cloudy","10:05",-105.293289357894,37.3564264504587,27,"Yes","Yes","No","","living",9.2,2,2,20,"Yes",15,10.4,"PSME","canker","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","1","0"
"9","6/6/23 18:00","10:27","136","MB","FM_MB_136_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2018,"sunny","10:27",-105.2876649,37.33754982,NA,NA,NA,NA,NA,"living",2.5,5,2,32,"No",0,18.8,"POTR","browse","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1","0"
"10","6/7/2023 6:00:00 PM","09:06","144","WTC","FM_WTC_144_2023","TM,RM,JC,ML","Baldies","UNKNOWN",NA,2021,"partly_cloudy","09:06",-105.270888134935,37.3474200535913,NA,NA,NA,NA,NA,"living",2.8,4,2,22.5,"No",10,9.9,"PIPO","barkbeetle","tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","1","0","0"
