"plot","treatment_year","treatment_type","basal_area_per_acre_in","average_dbh_in","average_height_ft","dominant_tree_species","regeneration_presence","seedlings_per_acre","dominant_regeneration_species","insect_damage_presence","browse_damage_presence"
"FM_BA_55","2019","Thin from below","52.7","11.1","41.62","Douglas fir (100.00%)","Regeneration absent",0,"None","Insect damage present","Browse absent"
"FM_BA_56","2019","Remove all white fir and mistletoe; retain healthy ponderosa pine and Douglas fir; thin from below","33.13","13.58","52.33","Douglas fir (83.33%)","Regeneration absent",0,"None","Insect damage present","Browse present"
"FM_BA_58","2019","Remove all white fir and mistletoe; retain healthy ponderosa pine and Douglas fir; thin from below","52.55","12.99","46.38","Ponderosa pine (100.00%)","Regeneration present",50,"Rocky Mountain juniper (100%)","Insect damage present","Browse present"
"FM_BA_63","2019","Remove all white fir and mistletoe; retain healthy ponderosa pine and Douglas fir; thin from below","48.34","15.61","59.1","Douglas fir (71.43%)","Regeneration present",200,"Rocky Mountain juniper (100%)","Insect damage present","Browse absent"
"FM_BA_71","2019","Shelterwood; thin from below","9.24","13.01","33.96","Aspen (50.00%), Douglas fir (50.00%)","Regeneration absent",0,"None","Insect damage present","Browse present"
"FM_BATCH_59","2019","Remove all white fir and mistletoe; retain healthy ponderosa pine and Douglas fir; thin from below","50.68","14.09","42.03","Ponderosa pine (100.00%)","Regeneration absent",0,"None","Insect damage present","Browse present"
"FM_BATCH_62","2019","Remove all white fir; remove all white fir and mistletoe; retain healthy ponderosa pine and Douglas fir; thin from below","60.18","18.9","58.78","Ponderosa pine (66.67%)","Regeneration present",150,"Ponderosa pine (100%)","Insect damage present","Browse present"
"FM_BATCH_64","2019","Remove all white fir and mistletoe; retain healthy ponderosa pine and Douglas fir; thin from below","46.52","16.73","46.26","Douglas fir (66.67%)","Regeneration present",4400,"Aspen (57.95%)","Insect damage present","Browse present"
"FM_BATCH_69","2019","Remove all white fir and mistletoe; retain healthy ponderosa pine and Douglas fir; thin from below","52.27","13.06","44.51","Douglas fir (66.67%)","Regeneration present",300,"Douglas fir (33.33%), White fir (16.67%)","Insect damage present","Browse present"
"FM_BATCH_70","2019","Shelterwood; thin from below","19.64","15.39","56.54","Douglas fir (100.00%)","Regeneration absent",0,"None","Insect damage present","Browse absent"
