"plot","treatment_year","treatment_type","basal_area_per_acre_in","average_dbh_in","average_height_ft","dominant_tree_species","regeneration_presence","seedlings_per_acre","dominant_regeneration_species","insect_damage_presence","browse_damage_presence","list_damage"
"FM_BL_116_2023","2021","Unknown",21.28,8.58,29,"White fir (50.00%), Ponderosa pine (30.00%)","Regeneration present",100,"White fir (66.67%)","Insect damage present","Browse absent","Bark beetle, galls, mechanical damage, spruce budworm"
"FM_BL_117_2023","2021","Unknown",31.23,10.35,39.5,"Douglas fir (70.00%)","Regeneration present",3050,"Douglas fir (100%)","Insect damage absent","Browse absent","Canker, mechanical damage, sapsucker, wind damage"
"FM_BL_137_2023","Unknown","Unknown",45.32,10.35,53.39,"Aspen (93.33%)","Regeneration present",3850,"Aspen (94.87%)","Insect damage present","Browse present","Browse, canker, mechanical damage, wind damage"
"FM_BL_145_2023","2021","Unknown",33.31,9.45,36.17,"Douglas fir (58.33%)","Regeneration present",1900,"Aspen (76.32%)","Insect damage present","Browse present","Bark beetle, browse, canker, galls, mechanical damage, spruce budworm"
"FM_BL_147_2023","2021","Unknown",33.1,8.3,31.93,"Aspen (93.75%)","Regeneration present",1550,"Aspen (96.77%)","Insect damage absent","Browse present","Browse, canker, mechanical damage"
"FM_BL_148_2023","2018","Unknown",43.96,8.73,36.26,"Douglas fir (63.16%)","Regeneration present",750,"Aspen (100%)","Insect damage absent","Browse present","Browse, canker, galls, mechanical damage"
"FM_BL_152_2023","2018","Unknown",64.83,9.42,37.32,"Douglas fir (66.67%)","Regeneration present",50,"White fir (100%)","Insect damage present","Browse present","Bark beetle, browse, canker, galls, mechanical damage, spruce budworm"
"FM_BL_153_2023","2018","Unknown",44.32,14.96,58.82,"Ponderosa pine (85.71%)","Regeneration present",100,"Rocky Mountain juniper (50%), Douglas fir (50%)","Insect damage absent","Browse absent","Galls, mechanical damage, sapsucker"
"FM_BL_154_2023","2021","Unknown",12.64,10.43,43.39,"Ponderosa pine (75.00%)","Regeneration present",550,"Rocky Mountain maple (72.73%)","Insect damage present","Browse absent","Bark beetle, mechanical damage, wind damage"
"FM_CS_92_2023","2018","Unknown",23.66,6.73,28.36,"Douglas fir (88.89%)","Regeneration absent",0,"None","Insect damage present","Browse absent","Canker, Douglas fir adelgid, galls, mechanical damage, sapsucker"
"FM_CS_93_2023","2018","Unknown",33.47,11.37,41.13,"Douglas fir (62.50%)","Regeneration present",150,"Douglas fir (66.67%)","Insect damage present","Browse present","Canker, Douglas fir adelgid, galls, mechanical damage, wind damage"
"FM_CSDE_91_2023","2018","Unknown",18.55,11.26,34.32,"Douglas fir (60.00%)","Regeneration present",50,"Douglas fir (100%)","Insect damage present","Browse absent","Canker, mechanical damage, wind damage"
"FM_CSTT_87_2023","2018","Unknown",16.57,14.17,39.7,"Ponderosa pine (100.00%)","Regeneration present",150,"White fir (66.67%)","Insect damage present","Browse absent","Bark beetle, canker, mechanical damage"
"FM_CSTT_88_2023","2018","Unknown",3.94,8.46,38.22,"Douglas fir (100.00%)","Regeneration absent",0,"None","Insect damage absent","Browse absent","Wind damage"
"FM_CSTT_89_2023","2018","Unknown",1.45,5.12,18.86,"Douglas fir (100.00%)","Regeneration absent",0,"None","Insect damage present","Browse absent","Douglas fir adelgid, sapsucker, spruce budworm"
"FM_CSTT_90_2023","2018","Unknown",30.86,11.56,38.39,"Ponderosa pine (100.00%)","Regeneration present",0,"Douglas fir (100%)","Insect damage present","Browse absent","Douglas fir adelgid, gash, mechanical damage, sapsucker, spruce budworm, wind damage"
"FM_CSTT_95_2023","2018","Unknown",26.68,10.61,30.39,"Ponderosa pine (75.00%)","Regeneration present",50,"Douglas fir (100%)","Insect damage present","Browse absent","Bark beetle, canker, Douglas fir adelgid, mechanical damage, sapsucker"
"FM_CSTT_98_2023","2018","Unknown",16.05,9.81,35.93,"Douglas fir (83.33%)","Regeneration absent",0,"None","Insect damage absent","Browse absent","Canker, mechanical damage, sapsucker"
"FM_H_94_2023","2018","Unknown",38.59,9.55,34.75,"Douglas fir (92.86%)","Regeneration absent",0,"None","Insect damage absent","Browse absent","Canker, mechanical damage, mistletoe, sapsucker"
"FM_LB_104_2023","2020","Unknown",14.74,16.44,42.32,"Ponderosa pine (100.00%)","Regeneration absent",0,"None","Insect damage absent","Browse absent","None"
"FM_MB_136_2023","2018","Unknown",42.98,12.82,60.77,"Aspen (100.00%)","Regeneration present",3150,"Aspen (98.41%)","Insect damage absent","Browse present","Browse, canker, mechanical damage, wind damage"
"FM_MB_138_2023","2021","Unknown",30.12,10.7,40.97,"Douglas fir (77.78%)","Regeneration present",650,"Douglas fir (100%)","Insect damage absent","Browse present","Browse, canker, galls, mechanical damage, sapsucker"
"FM_MB_139_2023","2021","Unknown",21.58,9.06,31.93,"Douglas fir (88.89%)","Regeneration present",50,"Douglas fir (100%)","Insect damage absent","Browse absent","Galls, mechanical damage, sapsucker"
"FM_MB_140_2023","2021","Unknown",26.55,10.17,36.82,"Douglas fir (77.78%)","Regeneration present",50,"Aspen (100%)","Insect damage present","Browse present","Browse, mechanical damage, spruce budworm"
